item	condition	sentence
1	1	Margie moved into her new apartment at the end of the summer. 
2	1	The principal introduced the new president of the junior class. 
3	1	None of the students wanted to have an exam after Spring Break. 
4	1	Mark told Janet that he would meet her after baseball practice. 
5	1	Bill complained that the magazine included more ads than articles. 
6	1	The angry man called the senator to complain about the new tax law. 
7	1	The policeman demanded to see Jim's license and registration. 
8	1	A strict vegetarian Jennifer does not eat chicken or beef. 
9	1	Nancy's kitchen was infested with carpenter ants and roaches. 
10	1	The hurricane destroyed houses in the village and left many homeless. 
11	1	Amy told the teacher that her dog ate her homework assignment.
12	1	Ed was forbidden to attend college parties while he was in high school. 
13	1	Sheri and her friends went to Hawaii for their summer vacation. 
14	1	Mark put too much soap in the washing machine, and it overflowed 
15	1	The circus tents were crowded with animals, clowns, and children. 
16	1	The bear chased after the forest ranger who was carrying honey. 
17	1	The best place that serves coffee and muffins is Dunkin Donuts. 
18	1	Mr. Jones asked his son to water the plants and mow the lawn. 
19	1	The bride's mother cried during the entire wedding ceremony. 
20	1	The drunk driver lost control, crashed into a street sign and died. 
21	1	Mary was the only teenager who attended the square dance in town. 
22	1	The burglar broke the window and quietly sneaked into the house. 
23	1	Jimmy was sent to the principal' office because he punched Sally. 
24	1	Most job applicatio require at least one letter of recommendation. 
25	2	The daredevil was relieved when his parachute finally opened. 
26	2	It is not unusual to see an armadillo cross a road in Texas. 
27	2	Erik took his sick parakeet to the vetenarian on Tuesday. 
28	2	Al stretched before running to avoid pulling a ligament or muscle. 
29	2	The boxer flared his nostrils as he entered the boxing ring. 
30	2	Mary was thrilled to receive a trinket from her boyfriend. 
31	2	Covered with maggots, the rug was removed from the smelly dorm room. 
32	2	Propelled from a submarine, the torpedo struck the battleship. 
33	2	Alfred served baked haddock and asparagus to his girlfriend. 
34	2	The dancer resembled a gazelle as he leaped across the stage. 
35	2	The little girl had dimples in her chin and a freckle on her nose. 
36	2	The beach was covered with pebbles, sea shells, and starfish. 
37	2	The child had a nightmare about being chased by hornets and wasps. 
38	2	Biff dove into the water and retrieved a scallop from the ocean floor. 
39	2	The little girl picked all of the cashews out of the trail mix. 
40	2	The athlete broke his pelvis and could not participate in the race. 
41	2	The game show contestant won a quartz watch and a television set. 
42	2	The careless mailman delivered the parcel to the wrong house. 
43	2	After receiving money, the beggar bought cigarettes and a case of beer. 
44	2	At the science party, people were dressed as robots and computers. 
45	2	The stunning actress wore a black sequin dress to the award ceremony. 
46	2	When the man ran in the blizzard, an icicle formed on his beard. 
47	2	The clumsy assistant dropped a beaker, and it shattered on the floor. 
48	2	When Al's retina became inflamed and sore, he visited the eye doctor. 
